r2,loss,time_this_iter_s,should_checkpoint,done,timesteps_total,episodes_total,training_iteration,trial_id,experiment_id,date,timestamp,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,warmup_time
-0.009044719354100875,5.209715527598746e-05,5.779965877532959,True,False,,,20,4bbee_00013,230e51d009b14eafbe9f5c5fc4f2d7cc,2023-07-27_14-14-52,1690460092,116.44251298904419,2616017,cool-unicorn,128.131.172.180,116.44251298904419,0,20,0.001989603042602539
-0.009532725535498448,5.1780996727757156e-05,5.7256996631622314,True,False,,,21,4bbee_00013,230e51d009b14eafbe9f5c5fc4f2d7cc,2023-07-27_14-14-58,1690460098,122.16821265220642,2616017,cool-unicorn,128.131.172.180,122.16821265220642,0,21,0.001989603042602539
-0.008997543095200908,5.179846630198881e-05,5.737759351730347,True,False,,,22,4bbee_00013,230e51d009b14eafbe9f5c5fc4f2d7cc,2023-07-27_14-15-03,1690460103,127.90597200393677,2616017,cool-unicorn,128.131.172.180,127.90597200393677,0,22,0.001989603042602539
-0.009993931440187159,5.200205123401247e-05,5.715485334396362,True,False,,,23,4bbee_00013,230e51d009b14eafbe9f5c5fc4f2d7cc,2023-07-27_14-15-09,1690460109,133.62145733833313,2616017,cool-unicorn,128.131.172.180,133.62145733833313,0,23,0.001989603042602539
-0.009431980344999598,5.1742532377829775e-05,5.715935945510864,True,False,,,24,4bbee_00013,230e51d009b14eafbe9f5c5fc4f2d7cc,2023-07-27_14-15-15,1690460115,139.337393283844,2616017,cool-unicorn,128.131.172.180,139.337393283844,0,24,0.001989603042602539
-0.009326690723504182,5.165514812688343e-05,5.700864791870117,True,False,,,25,4bbee_00013,230e51d009b14eafbe9f5c5fc4f2d7cc,2023-07-27_14-15-21,1690460121,145.0382580757141,2616017,cool-unicorn,128.131.172.180,145.0382580757141,0,25,0.001989603042602539
-0.009830931202437995,5.134497405379079e-05,5.733617305755615,True,False,,,26,4bbee_00013,230e51d009b14eafbe9f5c5fc4f2d7cc,2023-07-27_14-15-26,1690460126,150.77187538146973,2616017,cool-unicorn,128.131.172.180,150.77187538146973,0,26,0.001989603042602539
-0.009003113086375402,5.1534021622501314e-05,5.709633827209473,True,False,,,27,4bbee_00013,230e51d009b14eafbe9f5c5fc4f2d7cc,2023-07-27_14-15-32,1690460132,156.4815092086792,2616017,cool-unicorn,128.131.172.180,156.4815092086792,0,27,0.001989603042602539
-0.008439736577135365,5.107565448270179e-05,5.709348917007446,True,False,,,28,4bbee_00013,230e51d009b14eafbe9f5c5fc4f2d7cc,2023-07-27_14-15-38,1690460138,162.19085812568665,2616017,cool-unicorn,128.131.172.180,162.19085812568665,0,28,0.001989603042602539
-0.009361752216069448,5.148751733941026e-05,5.71404504776001,True,False,,,29,4bbee_00013,230e51d009b14eafbe9f5c5fc4f2d7cc,2023-07-27_14-15-43,1690460143,167.90490317344666,2616017,cool-unicorn,128.131.172.180,167.90490317344666,0,29,0.001989603042602539
-0.009121037681101526,5.139955464983359e-05,5.7546350955963135,True,False,,,30,4bbee_00013,230e51d009b14eafbe9f5c5fc4f2d7cc,2023-07-27_14-15-49,1690460149,173.65953826904297,2616017,cool-unicorn,128.131.172.180,173.65953826904297,0,30,0.001989603042602539
-0.009470342300870498,5.162022353033535e-05,5.720376014709473,True,False,,,31,4bbee_00013,230e51d009b14eafbe9f5c5fc4f2d7cc,2023-07-27_14-15-55,1690460155,179.37991428375244,2616017,cool-unicorn,128.131.172.180,179.37991428375244,0,31,0.001989603042602539
-0.008994555328683691,5.164191315998323e-05,5.718799352645874,True,False,,,32,4bbee_00013,230e51d009b14eafbe9f5c5fc4f2d7cc,2023-07-27_14-16-01,1690460161,185.09871363639832,2616017,cool-unicorn,128.131.172.180,185.09871363639832,0,32,0.001989603042602539
-0.009727844867581516,5.122344009578228e-05,5.697699546813965,True,False,,,33,4bbee_00013,230e51d009b14eafbe9f5c5fc4f2d7cc,2023-07-27_14-16-06,1690460166,190.79641318321228,2616017,cool-unicorn,128.131.172.180,190.79641318321228,0,33,0.001989603042602539
-0.009954453645062243,5.099486588733271e-05,5.7277138233184814,True,False,,,34,4bbee_00013,230e51d009b14eafbe9f5c5fc4f2d7cc,2023-07-27_14-16-12,1690460172,196.52412700653076,2616017,cool-unicorn,128.131.172.180,196.52412700653076,0,34,0.001989603042602539
-0.010019495467314146,5.093164509162307e-05,5.7224626541137695,True,False,,,35,4bbee_00013,230e51d009b14eafbe9f5c5fc4f2d7cc,2023-07-27_14-16-18,1690460178,202.24658966064453,2616017,cool-unicorn,128.131.172.180,202.24658966064453,0,35,0.001989603042602539
-0.009976010722699661,5.0861010095104575e-05,5.701236724853516,True,False,,,36,4bbee_00013,230e51d009b14eafbe9f5c5fc4f2d7cc,2023-07-27_14-16-24,1690460184,207.94782638549805,2616017,cool-unicorn,128.131.172.180,207.94782638549805,0,36,0.001989603042602539
-0.010460021348716484,5.086699820822105e-05,5.715609788894653,True,False,,,37,4bbee_00013,230e51d009b14eafbe9f5c5fc4f2d7cc,2023-07-27_14-16-29,1690460189,213.6634361743927,2616017,cool-unicorn,128.131.172.180,213.6634361743927,0,37,0.001989603042602539
-0.01032180137787293,5.061524279881269e-05,5.723635196685791,True,False,,,38,4bbee_00013,230e51d009b14eafbe9f5c5fc4f2d7cc,2023-07-27_14-16-35,1690460195,219.3870713710785,2616017,cool-unicorn,128.131.172.180,219.3870713710785,0,38,0.001989603042602539
-0.010632621571336922,5.044017962063663e-05,5.741200923919678,True,False,,,39,4bbee_00013,230e51d009b14eafbe9f5c5fc4f2d7cc,2023-07-27_14-16-41,1690460201,225.12827229499817,2616017,cool-unicorn,128.131.172.180,225.12827229499817,0,39,0.001989603042602539
-0.010611426365306823,5.0764792831614614e-05,5.729519605636597,True,False,,,40,4bbee_00013,230e51d009b14eafbe9f5c5fc4f2d7cc,2023-07-27_14-16-46,1690460206,230.85779190063477,2616017,cool-unicorn,128.131.172.180,230.85779190063477,0,40,0.001989603042602539
-0.010862788753983344,4.9973459681496024e-05,5.715537071228027,True,False,,,41,4bbee_00013,230e51d009b14eafbe9f5c5fc4f2d7cc,2023-07-27_14-16-52,1690460212,236.5733289718628,2616017,cool-unicorn,128.131.172.180,236.5733289718628,0,41,0.001989603042602539
-0.011326011381114585,5.026817598263733e-05,5.698232650756836,True,False,,,42,4bbee_00013,230e51d009b14eafbe9f5c5fc4f2d7cc,2023-07-27_14-16-58,1690460218,242.27156162261963,2616017,cool-unicorn,128.131.172.180,242.27156162261963,0,42,0.001989603042602539
-0.010497804816297652,5.00496280437801e-05,5.696082592010498,True,False,,,43,4bbee_00013,230e51d009b14eafbe9f5c5fc4f2d7cc,2023-07-27_14-17-04,1690460224,247.96764421463013,2616017,cool-unicorn,128.131.172.180,247.96764421463013,0,43,0.001989603042602539
-0.011093107039040612,4.996668212697841e-05,5.7190024852752686,True,False,,,44,4bbee_00013,230e51d009b14eafbe9f5c5fc4f2d7cc,2023-07-27_14-17-09,1690460229,253.6866466999054,2616017,cool-unicorn,128.131.172.180,253.6866466999054,0,44,0.001989603042602539
-0.011698437170127366,4.992033791495487e-05,5.733736038208008,True,False,,,45,4bbee_00013,230e51d009b14eafbe9f5c5fc4f2d7cc,2023-07-27_14-17-15,1690460235,259.4203827381134,2616017,cool-unicorn,128.131.172.180,259.4203827381134,0,45,0.001989603042602539
-0.011427487518581388,4.98546905873809e-05,5.909030199050903,True,False,,,46,4bbee_00013,230e51d009b14eafbe9f5c5fc4f2d7cc,2023-07-27_14-17-21,1690460241,265.3294129371643,2616017,cool-unicorn,128.131.172.180,265.3294129371643,0,46,0.001989603042602539
-0.01175129331391179,4.944731335854158e-05,5.722662448883057,True,False,,,47,4bbee_00013,230e51d009b14eafbe9f5c5fc4f2d7cc,2023-07-27_14-17-27,1690460247,271.05207538604736,2616017,cool-unicorn,128.131.172.180,271.05207538604736,0,47,0.001989603042602539
-0.012136155813959187,4.979420191375539e-05,5.7396745681762695,True,False,,,48,4bbee_00013,230e51d009b14eafbe9f5c5fc4f2d7cc,2023-07-27_14-17-32,1690460252,276.79174995422363,2616017,cool-unicorn,128.131.172.180,276.79174995422363,0,48,0.001989603042602539
-0.01162369281604391,4.955254553351551e-05,5.684298753738403,True,False,,,49,4bbee_00013,230e51d009b14eafbe9f5c5fc4f2d7cc,2023-07-27_14-17-38,1690460258,282.47604870796204,2616017,cool-unicorn,128.131.172.180,282.47604870796204,0,49,0.001989603042602539
-0.011663028725851015,4.901508509647101e-05,4.832849740982056,True,False,,,50,4bbee_00013,230e51d009b14eafbe9f5c5fc4f2d7cc,2023-07-27_14-17-43,1690460263,287.3088984489441,2616017,cool-unicorn,128.131.172.180,287.3088984489441,0,50,0.001989603042602539
-0.011429582276621946,4.864154107053764e-05,4.651364803314209,True,False,,,51,4bbee_00013,230e51d009b14eafbe9f5c5fc4f2d7cc,2023-07-27_14-17-48,1690460268,291.9602632522583,2616017,cool-unicorn,128.131.172.180,291.9602632522583,0,51,0.001989603042602539
-0.011600295956279441,4.8375306505477056e-05,5.02521824836731,True,False,,,52,4bbee_00013,230e51d009b14eafbe9f5c5fc4f2d7cc,2023-07-27_14-17-53,1690460273,296.9854815006256,2616017,cool-unicorn,128.131.172.180,296.9854815006256,0,52,0.001989603042602539
-0.012023190121669709,4.882727807853371e-05,5.30138897895813,True,False,,,53,4bbee_00013,230e51d009b14eafbe9f5c5fc4f2d7cc,2023-07-27_14-17-58,1690460278,302.28687047958374,2616017,cool-unicorn,128.131.172.180,302.28687047958374,0,53,0.001989603042602539
-0.011077043439734115,4.8124900786206126e-05,5.279787540435791,True,False,,,54,4bbee_00013,230e51d009b14eafbe9f5c5fc4f2d7cc,2023-07-27_14-18-03,1690460283,307.56665802001953,2616017,cool-unicorn,128.131.172.180,307.56665802001953,0,54,0.001989603042602539
-0.01205520640817568,4.7804373025428504e-05,5.327507019042969,True,False,,,55,4bbee_00013,230e51d009b14eafbe9f5c5fc4f2d7cc,2023-07-27_14-18-08,1690460288,312.8941650390625,2616017,cool-unicorn,128.131.172.180,312.8941650390625,0,55,0.001989603042602539
-0.011057518735202304,4.8033049097284675e-05,5.237924098968506,True,False,,,56,4bbee_00013,230e51d009b14eafbe9f5c5fc4f2d7cc,2023-07-27_14-18-14,1690460294,318.132089138031,2616017,cool-unicorn,128.131.172.180,318.132089138031,0,56,0.001989603042602539
-0.012186330309250579,4.7215424274327233e-05,5.314146995544434,True,False,,,57,4bbee_00013,230e51d009b14eafbe9f5c5fc4f2d7cc,2023-07-27_14-18-19,1690460299,323.44623613357544,2616017,cool-unicorn,128.131.172.180,323.44623613357544,0,57,0.001989603042602539
-0.011278288684427824,4.730555883725174e-05,5.251522779464722,True,False,,,58,4bbee_00013,230e51d009b14eafbe9f5c5fc4f2d7cc,2023-07-27_14-18-24,1690460304,328.69775891304016,2616017,cool-unicorn,128.131.172.180,328.69775891304016,0,58,0.001989603042602539
-0.012490772385325755,4.6708093577763066e-05,5.3099095821380615,True,False,,,59,4bbee_00013,230e51d009b14eafbe9f5c5fc4f2d7cc,2023-07-27_14-18-30,1690460310,334.0076684951782,2616017,cool-unicorn,128.131.172.180,334.0076684951782,0,59,0.001989603042602539
-0.012151420853439503,4.697608528658748e-05,5.246021270751953,True,False,,,60,4bbee_00013,230e51d009b14eafbe9f5c5fc4f2d7cc,2023-07-27_14-18-35,1690460315,339.2536897659302,2616017,cool-unicorn,128.131.172.180,339.2536897659302,0,60,0.001989603042602539
-0.012295770536988564,4.659362821257673e-05,5.299147367477417,True,False,,,61,4bbee_00013,230e51d009b14eafbe9f5c5fc4f2d7cc,2023-07-27_14-18-40,1690460320,344.5528371334076,2616017,cool-unicorn,128.131.172.180,344.5528371334076,0,61,0.001989603042602539
-0.01289334776733829,4.639945473172702e-05,5.277832984924316,True,False,,,62,4bbee_00013,230e51d009b14eafbe9f5c5fc4f2d7cc,2023-07-27_14-18-45,1690460325,349.8306701183319,2616017,cool-unicorn,128.131.172.180,349.8306701183319,0,62,0.001989603042602539
-0.011775400797499091,4.620636536856182e-05,5.329684495925903,True,False,,,63,4bbee_00013,230e51d009b14eafbe9f5c5fc4f2d7cc,2023-07-27_14-18-51,1690460331,355.1603546142578,2616017,cool-unicorn,128.131.172.180,355.1603546142578,0,63,0.001989603042602539
-0.011006978504456033,4.68816033389885e-05,5.251213788986206,True,False,,,64,4bbee_00013,230e51d009b14eafbe9f5c5fc4f2d7cc,2023-07-27_14-18-56,1690460336,360.411568403244,2616017,cool-unicorn,128.131.172.180,360.411568403244,0,64,0.001989603042602539
